sort,smpl number,leaf part,teatment,genotype,position,"dry wt tissue, g","assyd pwdr, g",,initial supernt wt. extract. exclude the tube,final update supernatent. extract. weight ,supernatent wt. extract. exclude the tube,surface wash-off weight exclude the tube ,tube popped and lost debris during cook,tube+water & powder after cook & makeup,,07.19 extract PGO (glc) ug/well,7.31 extract PGO (glc) ug/well,8/10 extr PGO (glc) ug/well,8/10 extrct PGO (glc) ug/well,8.14 PGO extract  ug/well,07.19 extract  PGO+I ug/well,07.31 extract  PGO+I ug/well,07.31 extract  PGO+I+ 1 hour ug/well,8.14   PGO +I extract 'predicted ug/well,07.19 extract calc sucrose ug/well,07.31 extract calc sucrose ug/well,,07.20 surface wash PGO (glc) ug/well,07.31 surface wash PGO (glc) ug/well,8.14 PGO wash 'predicted ug/well,07.20 surface wash predicted PGO+I ug/well,07.31 surface wash predicted PGO+I ug/well,07.31 surface wash predicted PGO+I + 1 hour ug/well,8.14 PGO+i wash 'predicted ug/well,07.20 surface wash  calc sucrose ug/well,,7/19 extract glc umol/ gDW,7/31 extract glc umol/ gdw,8/10 rep1 extract glc umol/ gdw,8/10 rep 2 extract glc umol/ gdw,8/14  extract glc umol/ gdw,7/19 extract total sugr umol/ gDW,7/31 extract total umol/ gdw,8/14  extract total umol/ gdw,,7/19 wash glc umol/ gDW,7/31 wash glc umol/ gDW,8/14 wash glc umol/ gDW,7/19 wash total sugr umol/ gDW,7/31 wash total sugr umol/ gDW,8/14 wash total sugr umol/ gDW,,08.06 starch content ug/well,08.06 starch content umol/ gdw,extract avg glc umol/ gDW,extract avg total sugr umol/ gDW,extract avg suc umol/ gDW,wash avg glc umol/ gDW,wash avg total sugr umol/ gDW,wash avg suc umol/ gDW
15,71,leaf base,STS,0002,16,0.1191,0.05,,1.3732,,1.3732,0.5609,,1.9145,,4.40,1.11,0.66,1.29,1.93,21.82,1.53,2.0,4.6,17.4,0.42,,23.6,1.5,5.8,     >>,1.4,1.6,8.5,,,14.1,11.2,3.3,6.3,18.4,166.5,15.5,46.4,,55.0,6.2,23.9,,6.6,35.0,,10.6,75.6,8.7,15.5,,,,
12,74,leaf base,STS,0002,8,0.1196,0.05,,1.4606,,1.4606,0.6031,,1.8758,,5.12,0.90,0.72,1.26,3.11,24.88,1.35,1.7,4.9,19.8,0.46,,0.4,0.1,0.3,7.32,0.2,0.3,0.3,6.92,,17.4,9.6,3.8,6.7,28.6,201.9,14.5,52.9,,0.9,0.5,1.4,17.0,1.1,1.5,,4.1,28.0,9.4,14.5,,,,
16,77,leaf base,STS,0002,16,0.1934,0.05,,1.4675,,1.4675,0.6669,,1.906,,xx-0.671348507798169,2.97,1.67,2.03,5.62,x0.647065720790682,2.66,2.8,7.5,1.3,-0.31,,34.4,4.2,7.1,     >>,4.5,6.0,9.3,,,,19.8,12.7,15.4,51.8,,17.7,49.8,,49.5,12.7,21.4,,18.2,28.3,,2.4,17.1,16.0,17.7,,,,
,,leaf base,STS,0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,14.8,18.6,,,,
19,2,leaf base,Control,N14,8,0.0810,0.05,,1.1989,,1.1989,0.6057,,1.8933,,11.89,4.17,1.49,1.34,4.62,     >>,4.24,4.5,10.5,,0.06,,34.6,3.4,7.2,     >>,3.0,3.3,6.8,,,48.9,54.2,24.2,21.7,67.0,,55.0,137.0,,118.8,22.2,47.4,,21.9,44.3,,11.9,82.5,37.3,55.0,,,,
23,5,leaf base,Control,N14,16,0.1307,0.05,,1.1930,,1.1930,0.5635,,1.8641,,24.29,5.90,2.55,2.49,11.54,30.72,4.49,3.6,12.0,6.4,-1.42,,     >>,17.4,34.4,     >>,17.9,22.0,35.3,,,61.6,47.3,43.5,42.5,192.7,203.6,35.9,95.9,,,65.9,130.3,,83.3,133.7,,10.5,70.5,48.7,35.9,,,,
20,14,leaf base,control,N14,8,0.1230,0.05,,0.7803,1.1455,1.1455,0.6162,,1.9253,,7.93,1.83,1.39,1.83,3.25,33.40,2.25,2.8,4.9,25.5,0.41,,12.1,3.6,8.1,27.47,3.7,4.2,17.0,15.33,,20.5,15.0,13.7,18.1,42.4,212.6,18.4,40.5,,27.4,16.0,35.8,62.0,18.7,74.6,,9.2,66.0,16.8,18.4,,,,
24,17,leaf base,control,N14,16,0.2062,0.05,,0.7371,0.7371,0.7371,0.5893,,1.8592,,17.98,2.82,2.93,3.04,8.68,     >>,2.24,2.1,11.9,,-0.58,,     >>,28.5,36.9,     >>,28.6,,60.2,,,17.9,8.9,36.6,37.9,112.2,,7.0,37.2,,,71.4,92.7,,0.0,151.0,,11.0,73.7,25.3,7.0,,,,
21,80,leaf base,Control,N14,8,0.1428,0.05,,1.4205,,1.4205,0.6649,,1.9353,,7.22,2.51,0.96,1.32,4.10,24.88,2.48,2.8,7.9,17.7,-0.02,,     >>,5.0,7.7,     >>,5.3,6.5,9.3,,,19.9,21.9,5.7,7.8,33.1,196.3,21.7,68.8,,,20.5,31.4,,26.4,38.2,,2.2,15.8,13.8,21.7,,,,
25,83,leaf base,Control,N14,16,0.2065,0.05,,1.4401,,1.4401,0.7030,,1.9816,,7.22,2.58,0.69,1.17,3.82,22.35,2.62,3.0,4.9,15.1,0.05,,8.9,0.6,0.9,21.05,0.6,0.6,1.1,12.14,,14.0,15.8,2.0,3.4,19.1,178.8,16.1,30.0,,12.0,1.7,2.8,28.3,1.8,3.3,,1.5,11.2,8.8,16.1,,,,
22,92,leaf base,Control,N14,8,0.1303,0.05,,1.1033,,1.1033,0.6765,,2.0872,,22.31,6.90,3.33,1.84,8.22,     >>,5.72,5.9,11.8,,-1.18,,     >>,11.1,9.4,     >>,6.8,4.8,9.1,,,52.5,51.3,74.6,41.2,101.8,,42.5,87.5,,,50.6,43.0,,22.0,41.5,,5.1,42.5,54.9,42.5,,,,
26,95,leaf base,Control,N14,16,0.3137,0.05,,1.1348,,1.1348,0.6777,,2.1058,,24.51,7.95,5.23,1.36,10.22,27.19,5.64,4.5,11.6,2.7,-2.30,,     >>,9.6,12.6,     >>,10.9,15.1,26.9,,,24.6,25.2,76.5,19.9,39.0,171.4,17.9,36.9,,,18.2,23.9,,28.6,51.0,,4.7,40.0,36.6,17.9,,,,
,,leaf base,Control,N14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,30.3,26.8,,,,
27,8,leaf base,STS,N14,8,0.1278,0.05,,1.2062,,1.2062,0.5902,,1.9064,,13.57,5.21,1.49,1.88,6.50,32.93,4.97,5.4,11.9,19.4,-0.25,,11.0,1.2,1.9,27.39,1.3,1.5,1.8,16.37,,35.6,43.2,15.3,19.2,83.7,220.7,41.1,98.2,,24.0,4.8,7.5,59.5,6.2,7.1,,10.1,70.8,28.3,41.1,,,,
30,11,leaf base,STS,N14,16,0.2399,0.05,,1.1953,,1.1953,0.5927,,1.9869,,17.07,5.56,1.85,2.19,9.07,26.52,4.39,3.9,13.1,9.5,-1.17,,34.7,6.3,11.1,     >>,6.7,8.8,12.6,,,23.6,24.3,12.5,14.8,72.6,176.1,19.2,57.4,,40.2,13.8,24.1,,19.1,27.3,,7.7,58.9,18.8,19.2,,,,
28,20,leaf base,STS,N14,8,0.1525,0.05,,0.7733,1.2802,1.2802,0.5981,,1.9442,,14.15,3.79,2.21,2.20,6.69,29.31,3.22,3.2,10.0,15.2,-0.57,,     >>,5.3,9.2,     >>,5.1,5.6,13.2,,,33.0,27.9,28.1,28.0,84.6,208.5,23.7,74.0,,,18.4,31.6,,19.2,45.5,,5.0,36.4,29.2,23.7,,,,
31,23,leaf base,STS,N14,16,0.2715,0.05,,0.7761,1.1654,1.1654,0.6479,x,1.9717,,10.70,3.15,1.14,1.42,5.08,25.50,2.86,2.9,8.4,14.8,-0.29,,     >>,17.6,28.4,     >>,19.8,,58.8,,,12.8,11.9,4.2,5.2,23.4,165.1,10.8,31.5,,,36.8,59.4,,0.0,123.2,,2.4,17.9,8.5,10.8,,,,
17,26,leaf base,STS,N14,8,0.1386,0.05,,0.6506,1.1784,1.1784,0.5795,,1.9397,,6.65,0.98,0.66,1.29,3.11,32.29,1.07,1.2,9.3,25.6,0.09,,34.7,0.0,0.2,     >>,0.1,0.1,0.1,,,15.7,7.3,2.8,5.4,25.4,211.4,8.0,69.7,,69.6,0.1,0.8,,0.3,0.4,,10.1,73.5,7.8,8.0,,,,
18,29,leaf base,STS,N14,16,0.2368,0.05,,0.7619,1.1546,1.1546,0.6371,,1.9947,,14.12,5.89,1.71,2.09,6.05,     >>,5.61,5.8,10.6,,-0.28,,     >>,1.0,0.7,     >>,1.0,1.2,0.5,,,19.1,25.2,10.8,13.2,46.9,,24.0,45.4,,,2.4,1.6,,2.7,1.2,,2.9,22.1,17.1,24.0,,,,
29,86,leaf base,STS,N14,8,0.0895,0.05,,1.2759,,1.2759,0.6632,,1.9085,,5.55,1.76,0.84,1.27,2.06,31.71,2.31,3.2,6.4,26.2,0.55,,8.5,0.4,0.6,21.62,0.5,0.5,0.9,13.09,,22.0,22.1,7.0,10.5,25.6,224.8,28.9,80.6,,26.5,2.8,3.6,67.1,3.5,5.7,,6.1,43.2,15.4,28.9,,,,
32,89,leaf base,STS,N14,16,0.1966,0.05,,1.0828,,1.0828,0.7097,,2.0327,,x-0.574535360885622,4.62,1.49,1.34,5.68,x-0.55171516704693,4.45,4.7,8.8,x0.0228201938386922,-0.17,,     >>,10.1,11.0,     >>,9.6,10.6,18.9,,,,22.3,10.0,8.9,34.0,,21.5,42.6,,,32.0,34.8,,33.4,59.9,,4.4,35.4,13.7,21.5,,,,
,,leaf base,STS,N14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8,17.4,22.2,,,,
33,31,leaf tip,Control,0002,8,0.2128,0.05,,1.1905,,1.1905,0.6088,,1.9659,,4.49,1.25,0.75,2.09,5.39,29.51,1.76,2.2,5.9,25.0,0.52,,10.5,0.9,1.5,27.22,1.0,1.2,2.3,16.74,,7.0,6.1,2.3,6.4,46.5,195.2,8.7,29.2,,13.7,2.3,3.8,35.5,2.9,5.8,,6.5,49.0,5.5,8.7,,,,
37,34,leaf tip,Control,0002,16,0.5726,0.05,,1.1688,,1.1688,0.6880,,1.938,,5.93,2.18,0.79,1.41,7.06,29.56,3.29,3.9,9.1,23.6,1.11,,     >>,10.4,13.1,     >>,12.3,17.5,28.4,,,3.4,3.9,1.0,1.7,15.3,191.9,5.9,16.2,,,11.0,13.9,,18.5,29.9,,6.3,45.7,2.5,5.9,,,,
34,37,leaf tip,Control,0002,8,0.3537,0.05,,1.1313,,1.1313,0.6474,,1.8465,,4.46,1.39,1.01,3.06,2.30,29.21,1.95,2.5,5.3,24.8,0.56,,5.7,0.8,1.7,17.75,0.9,1.1,2.5,12.00,,4.0,3.9,2.5,7.7,17.5,183.6,5.5,14.9,,4.5,1.2,2.8,13.9,1.7,4.0,,8.1,53.5,4.5,5.5,,,,
38,40,leaf tip,Control,0002,16,0.7538,0.05,,1.2206,,1.2206,0.6897,,2.0363,,9.61,1.32,0.65,3.85,2.29,     >>,1.66,2.0,5.9,,0.35,,12.4,0.9,2.0,31.82,0.9,1.1,2.7,19.43,,4.3,1.9,0.5,2.9,10.3,,2.4,8.4,,4.6,0.7,1.6,11.7,0.9,2.2,,2.7,21.7,2.4,2.4,,,,
35,43,leaf tip,Control,0002,8,0.3010,0.05,,1.1753,,1.1753,0.6105,,1.9948,,7.12,1.52,0.88,3.67,2.47,32.00,2.09,2.6,4.5,24.9,0.57,,4.1,0.2,1.3,13.12,0.4,0.4,1.6,8.99,,7.7,5.2,2.2,9.4,26.4,208.9,7.2,15.3,,3.8,0.4,2.3,12.1,0.7,2.9,,4.6,35.4,6.1,7.2,,,,
39,46,leaf tip,Control,0002,16,0.7303,0.05,,1.1377,,1.1377,0.5996,x,1.3983,,6.75,2.22,0.54,4.20,2.97,31.40,3.21,3.8,6.6,24.7,0.99,,24.9,2.1,7.2,     >>,2.8,4.2,14.9,,,2.9,3.0,0.3,2.7,15.0,198.5,4.4,9.1,,9.5,1.5,5.2,,3.0,10.7,,15.8,51.8,2.3,4.4,,,,
36,49,leaf tip,Control,0002,8,0.3693,0.05,,1.1725,,1.1725,0.6648,,1.8909,,7.09,1.94,1.89,1.95,2.01,32.63,2.99,4.0,4.0,25.5,1.05,,2.6,0.2,0.6,8.57,0.2,0.3,0.8,5.98,,6.3,5.4,8.5,8.7,9.3,212.5,8.3,11.2,,1.9,0.3,0.9,6.4,0.5,1.2,,10.0,69.2,7.2,8.3,,,,
40,52,leaf tip,Control,0002,16,0.5135,0.05,,1.2068,,1.2068,0.5892,,2.0226,,7.78,1.87,1.97,2.15,2.01,     >>,2.91,3.7,4.2,,1.05,,3.4,0.3,0.7,24.63,0.4,0.6,2.0,21.24,,5.1,3.8,6.6,7.2,7.4,,6.0,8.6,,1.8,0.3,0.7,13.3,0.6,2.0,,6.7,53.3,5.7,6.0,,,,
,,leaf tip,Control,0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4,4.5,6.0,,,,
41,55,leaf tip,STS,0002,8,0.4185,0.05,,1.1843,,1.1843,0.6206,,1.9086,,6.12,1.97,1.85,2.21,2.24,29.51,2.85,3.6,3.4,23.4,0.87,,5.3,0.3,1.0,16.81,0.4,0.5,1.8,11.50,,4.8,4.9,7.2,8.6,10.4,194.2,7.1,8.4,,3.5,0.4,1.4,11.2,0.6,2.3,,6.4,45.5,6.4,7.1,,,,
45,58,leaf tip,STS,0002,16,1.2433,0.05,,1.1725,,1.1725,0.5629,,1.9334,,7.75,1.96,1.84,2.04,2.52,33.60,3.18,3.7,3.4,25.8,1.22,,26.3,1.5,4.4,     >>,1.8,2.3,8.7,,,2.0,1.6,2.4,2.7,3.6,218.8,2.6,2.8,,5.9,0.6,1.7,,0.9,3.5,,1.8,12.7,2.2,2.6,,,,
42,61,leaf tip,STS,0002,8,0.3710,0.05,,1.5569,,1.5569,0.5362,x,1.7436,,3.85,0.79,0.43,1.27,1.65,20.88,1.17,1.6,4.7,17.0,0.38,,6.6,0.7,1.6,20.36,0.8,1.0,2.6,13.77,,4.5,2.9,0.4,1.3,4.9,180.6,4.3,17.2,,4.9,0.9,2.1,15.2,1.2,3.3,,2.7,15.7,2.3,4.3,,,,
46,64,leaf tip,STS,0002,16,0.7995,0.05,,1.4648,,1.4648,0.6706,,1.8578,,5.05,1.10,0.87,1.63,1.81,27.39,1.54,1.9,3.8,22.3,0.45,,2.5,0.3,0.8,8.83,0.3,0.4,1.3,6.29,,2.6,1.8,0.8,1.5,3.2,222.9,2.5,6.0,,0.9,0.2,0.6,3.1,0.3,0.9,,1.7,11.1,1.7,2.5,,,,
43,67,leaf tip,STS,0002,8,0.2026,0.05,,1.3971,,1.3971,0.5975,,1.875,,3.67,0.95,0.77,1.59,2.07,24.97,1.37,1.8,3.4,21.3,0.42,,2.2,0.2,0.9,8.22,0.5,0.5,1.5,6.06,,7.0,5.8,2.6,5.3,14.3,193.8,8.3,20.4,,3.0,0.6,2.4,11.3,1.4,3.8,,10.5,71.8,5.2,8.3,,,,
47,70,leaf tip,STS,0002,16,0.6762,0.05,,1.3720,,1.3720,0.6497,,1.8135,,3.13,1.06,0.45,1.30,1.91,23.45,1.65,2.1,4.4,20.3,0.59,,34.0,2.5,9.8,     >>,2.8,3.5,17.9,,,1.8,1.9,0.3,0.8,3.2,178.7,2.9,7.9,,14.0,2.1,8.3,,3.0,15.1,,6.3,40.0,1.2,2.9,,,,
44,73,leaf tip,STS,0002,8,0.3158,0.05,,1.4408,,1.4408,0.6394,,1.6348,,3.59,0.77,0.69,1.42,2.17,25.00,1.35,1.8,3.8,21.4,0.57,,1.9,0.3,0.6,6.91,0.3,0.4,0.6,5.03,,4.6,3.1,1.3,2.7,8.6,200.1,5.4,15.3,,1.7,0.5,1.0,6.1,0.8,1.0,,11.4,57.3,2.9,5.4,,,,
48,76,leaf tip,STS,0002,16,0.8353,0.05,,1.4072,,1.4072,0.6530,,1.8617,,7.09,1.17,1.21,1.66,3.30,28.15,1.38,1.6,3.6,21.1,0.21,,0.0,0.1,0.3,18.84,0.3,0.7,1.3,18.85,,3.3,1.7,1.5,2.1,5.8,220.0,2.0,5.3,,0.0,0.1,0.2,6.3,0.5,0.9,,1.2,8.3,2.2,2.0,,,,
,,leaf tip,STS,0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,3.0,4.4,,,,
51,1,leaf tip,Control,N14,8,0.4304,0.05,,1.0538,,1.0538,0.5499,,1.9165,,23.44,4.07,2.83,2.89,11.65,28.49,2.96,2.4,14.0,5.0,-1.11,,     >>,6.2,7.8,     >>,6.9,9.3,13.2,,,15.9,8.7,16.4,16.7,68.8,166.8,6.4,30.1,,,6.9,8.7,,10.4,14.8,,15.1,107.5,14.4,6.4,,,,
55,4,leaf tip,Control,N14,16,0.4074,0.05,,1.1767,,1.1767,0.5966,,1.9171,,20.20,4.38,1.70,1.60,8.25,27.74,3.43,2.8,9.3,7.5,-0.96,,     >>,12.1,21.0,     >>,13.5,18.7,26.2,,,16.2,11.1,6.2,5.9,28.5,181.4,8.7,23.5,,,15.5,27.0,,24.0,33.6,,7.9,56.6,9.8,8.7,,,,
52,13,leaf tip,control,N14,8,0.3621,0.05,,0.7606,1.1405,1.1405,0.6519,,1.9774,,8.04,3.18,0.90,1.38,3.58,24.33,3.12,3.2,3.9,16.3,-0.06,,18.6,1.9,2.2,     >>,1.9,2.2,3.3,,,7.0,8.8,2.0,3.0,11.9,154.1,8.6,10.8,,14.2,3.0,3.4,,3.5,5.2,,5.6,42.6,5.2,8.6,,,,
56,16,leaf tip,control,N14,16,0.6530,0.05,,0.7797,1.1620,1.1620,0.5439,,1.9234,,20.57,3.16,2.39,1.89,8.66,     >>,2.59,2.1,11.0,,-0.57,,     >>,24.3,32.3,     >>,26.3,,56.1,,,10.2,4.9,7.7,6.1,22.0,,4.0,17.1,,,17.7,23.6,,0.0,41.0,,2.2,15.9,7.2,4.0,,,,
53,79,leaf tip,Control,N14,8,0.5311,0.05,,1.3401,,1.3401,0.7167,,1.8337,,5.51,1.86,0.66,1.21,3.59,29.83,2.12,2.8,5.4,24.3,0.26,,6.4,0.7,1.3,22.71,0.9,1.2,1.9,16.33,,3.9,4.1,0.7,1.3,7.2,222.1,4.7,12.0,,3.3,0.8,1.5,11.9,1.4,2.2,,2.6,17.2,2.5,4.7,,,,
57,82,leaf tip,Control,N14,16,0.7460,0.05,,1.3407,,1.3407,0.7183,,1.6518,,3.99,1.21,1.36,2.20,4.34,24.51,1.69,2.2,4.3,20.5,0.49,,4.8,0.9,1.5,7.72,0.9,1.0,1.7,2.87,,2.0,1.9,2.2,3.5,11.2,182.6,2.7,6.8,,1.8,0.8,1.2,2.9,0.8,1.4,,1.3,6.6,2.4,2.7,,,,
54,91,leaf tip,Control,N14,8,0.3928,0.05,,------,,------,0.7343,,------,,-0.574535360885622,0.19,-0.25,-0.22,0.34,2.80,0.28,0.3,0.1,3.4,0.10,,     >>,2.4,3.4,     >>,2.3,2.6,4.9,,,,,0.1,0.1,-0.2,,,,,,3.9,5.6,,4.3,8.0,,0.1,,0.1,,,,,
58,94,leaf tip,Control,N14,16,0.8294,0.05,,1.0890,,1.0890,0.7906,,1.929,,18.83,7.37,3.35,1.61,5.74,27.61,5.80,5.2,6.8,8.8,-1.57,,     >>,10.0,13.7,     >>,11.2,15.1,29.0,,,6.9,8.5,11.9,5.7,9.8,167.0,6.7,7.8,,,8.4,11.5,,12.6,24.2,,1.9,14.0,8.2,6.7,,,,
,,leaf tip,Control,N14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,6.2,6.0,,,,
59,7,leaf tip,STS,N14,8,0.3962,0.05,,1.1813,,1.1813,0.5547,,1.9099,,16.76,3.93,1.61,2.55,9.62,23.67,3.31,2.9,12.6,6.9,-0.62,,26.8,2.8,5.8,     >>,3.2,4.3,6.0,,,13.9,10.3,5.8,9.1,54.3,155.3,8.7,33.1,,18.8,3.5,7.1,,5.2,7.4,,12.1,85.2,9.8,8.7,,,,
